"","Palavra","Dimensao","Media","DP"
"528","NERVOSO","Ativacao",5.33,3.05
"529","NEURÓTICO","Valencia",2.49,1.65
"530","NEURÓTICO","Ativacao",6.1,2.98
"531","NEVE","Valencia",6.93,2.27
"532","NEVE","Ativacao",5.19,2.91
"533","NÓ","Valencia",3.9,1.79
"534","NÓ","Ativacao",4.76,2.77
"535","NOIVA","Valencia",6.84,1.9
"536","NOIVA","Ativacao",5.31,2.78
"537","NOME","Valencia",7.5,1.98
"538","NOME","Ativacao",3.53,2.79
"539","NOTÍCIA","Valencia",6.49,1.77
"540","NOTÍCIA","Ativacao",4.93,2.62
"541","NOVO","Valencia",7.96,1.31
"542","NOVO","Ativacao",4.94,2.94
"543","NU","Valencia",7.14,1.65
"544","NU","Ativacao",4.49,2.88
"545","NUBLADO","Valencia",3.91,2.06
"546","NUBLADO","Ativacao",3.73,2.53
"547","NUTRIR","Valencia",6.42,2.36
"548","NUTRIR","Ativacao",4.9,2.72
"549","NUVEM","Valencia",6.67,2.07
"550","NUVEM","Ativacao",2.7,2.16
"551","OBEDECER","Valencia",4.55,2.46
"552","OBEDECER","Ativacao",4.2,2.62
"553","OBESIDADE","Valencia",2.14,1.99
"554","OBESIDADE","Ativacao",5.55,3.3
"555","OBSCENO","Valencia",3.89,1.98
"556","OBSCENO","Ativacao",4.09,2.77
"557","OBSESSÃO","Valencia",3,2.07
"558","OBSESSÃO","Ativacao",5.19,2.86
"559","OBSTRUIR","Valencia",2.64,1.78
"560","OBSTRUIR","Ativacao",5.29,3
"561","OCEANO","Valencia",7.77,1.81
"562","OCEANO","Ativacao",3.58,2.93
"563","ÓDIO","Valencia",2.86,2.16
"564","ÓDIO","Ativacao",4.76,3.05
"565","OFENDER","Valencia",1.78,1.48
"566","OFENDER","Ativacao",6.23,3.14
"567","OFUSCAR","Valencia",4.51,2.04
"568","OFUSCAR","Ativacao",4.14,2.47
"569","ÔNIBUS","Valencia",4.18,2.39
"570","ÔNIBUS","Ativacao",4.58,2.91
"571","ONIPOTENTE","Valencia",5.8,2.63
"572","ONIPOTENTE","Ativacao",4.76,2.81
"573","OPÇÃO","Valencia",6.27,1.85
"574","OPÇÃO","Ativacao",5.18,2.86
"575","RELÂMPAGO","Valencia",3.77,2.31
"576","RELÂMPAGO","Ativacao",5.85,2.72
"577","RELAXADO","Valencia",6.36,3.18
"578","RELAXADO","Ativacao",3.76,3.01
"579","RELÓGIO","Valencia",5.73,2.17
"580","RELÓGIO","Ativacao",4.42,2.35
"581","REMÉDIO","Valencia",3.93,2.58
"582","REMÉDIO","Ativacao",4.24,2.54
"583","RÉPTIL","Valencia",4.47,2.18
"584","RÉPTIL","Ativacao",4.34,2.59
"585","REPUGNADO","Valencia",2.67,1.8
"586","REPUGNADO","Ativacao",4.56,2.31
