"","Palavra","Dimensao","Media","DP"
"473","ENCONTRO","Ativacao",5.67,2.86
"474","ENFERMEIRA","Ativacao",4.39,2.47
"475","ENFERRUJADO","Ativacao",3.25,2.18
"476","ENFURECIDO","Ativacao",6.89,2.17
"477","ENGANAÇÃO","Ativacao",6.31,2.91
"478","ENJOATIVO","Ativacao",4.72,2.45
"479","ENLAMEADO","Ativacao",3.65,2.54
"480","ENTEDIADO","Ativacao",5.19,2.83
"481","ENTERRO","Ativacao",5.31,3.31
"482","ENTULHO","Ativacao",3.54,6.56
"483","ENTUSIASMO","Ativacao",4.78,3.11
"484","ENVERGONHADO","Ativacao",5.33,2.42
"485","ERÓTICO","Ativacao",4.8,3.21
"486","ERRO","Ativacao",6.4,2.57
"487","ERUDITO","Ativacao",2.86,2.31
"488","ESBANJAMENTO","Ativacao",5.25,2.64
"489","ESCALDANTE","Ativacao",3.86,2.76
"490","ESCÂNDALO","Ativacao",5.51,2.73
"491","ESCONDER","Ativacao",4.51,2.78
"492","ESCORBUTO","Ativacao",4.03,2.55
"493","HOSPITAL","Ativacao",5.39,3.18
"494","HOSTIL","Ativacao",4.58,2.72
"495","HOTEL","Ativacao",3.79,2.84
"496","HUMANITÁRIO","Ativacao",5.31,3.34
"497","HUMBÚRGUER","Ativacao",4.19,2.8
"498","HUMILDE","Ativacao",3.6,2.69
"499","HUMILHAR","Ativacao",5.8,3.11
"500","HUMOR","Ativacao",5.26,3.5
"501","IATE","Ativacao",3.97,2.37
"502","IDÉIA","Ativacao",5.31,3.32
"503","IDENTIDADE","Ativacao",4.5,2.9
"504","IDIOTA","Ativacao",5.28,2.9
"505","ÍDOLO","Ativacao",3.73,2.36
"506","IGNORÂNCIA","Ativacao",5.57,2.99
"507","IGREJA","Ativacao",4.7,2.72
"508","IMAGINAR","Ativacao",5.06,3.25
"509","IMATURO","Ativacao",5.7,2.66
"510","IMORAL","Ativacao",5,3
"511","IMPLICAR","Ativacao",5.47,2.63
"512","IMPOTENTE","Ativacao",5.34,3
"513","IMPRESSIONADO","Ativacao",4.09,2.82
"514","IMUNDÍCIE","Ativacao",5.18,2.88
"515","INCENTIVO","Ativacao",5.4,2.67
"516","INCOMODADO","Ativacao",5.66,2.64
"517","INCOMODAR","Ativacao",5.86,2.79
"518","INCUMBÊNCIA","Ativacao",4.29,2.3
"519","INDIFERENTE","Ativacao",4.59,2.24
"520","INDÚSTRIA","Ativacao",4.5,2.5
"521","INFANTE","Ativacao",5.24,2.84
"522","INFECÇÃO","Ativacao",5.61,2.96
"523","INFELIZ","Ativacao",6.2,3.01
"524","INFERIOR","Ativacao",4.5,2.73
"525","INFERNO","Ativacao",4.88,3.13
"526","INFIEL","Ativacao",6.34,3.15
"527","INOCENTE","Ativacao",5.45,2.68
"528","INSANO","Ativacao",4.61,2.52
"529","INSEGURO","Ativacao",6.02,2.55
"530","INSETO","Ativacao",5.44,2.68
"531","INSOLENTE","Ativacao",4.9,3
"532","INSOSSO","Ativacao",4.21,2.6
"533","INSPIRADO","Ativacao",5.48,3.24
"534","INSPIRAR","Ativacao",4.03,3.1
"535","INSULTO","Ativacao",4.72,3.32
"536","INTELECTO","Ativacao",4.33,2.49
"537","INTELIGENTE","Ativacao",4.75,3.26
"538","INTERCURSO","Ativacao",2.33,6.42
"539","INTERESSE","Ativacao",5.68,2.9
"540","ÍNTIMO","Ativacao",4.8,2.84
"541","INTROMETER","Ativacao",5.73,2.67
"542","INTROMETIDO","Ativacao",5.94,2.56
"543","INTRUSO","Ativacao",5.99,2.56
"544","INUNDAÇÃO","Ativacao",6.02,2.8
"545","INÚTIL","Ativacao",5.63,2.82
"546","INVASOR","Ativacao",6.61,2.7
"547","INVESTIR","Ativacao",6.16,2.69
"548","IRMÃO","Ativacao",5.11,3
"549","IRRITAR","Ativacao",4.99,3.15
"550","ITEM","Ativacao",3.13,2.06
"551","JANELA","Ativacao",3.32,2.71
"552","JANTA","Ativacao",4.61,2.94
"553","JARDIM","Ativacao",4.52,3.03
"554","JARRA","Ativacao",3.66,2.57
"555","JIBÓIA","Ativacao",4.39,2.86
"556","JOGO","Ativacao",4.89,2.66
"557","JÓIA","Ativacao",4.19,2.94
"558","JUSTIÇA","Ativacao",5.61,2.73
"559","JUVENTUDE","Ativacao",5.7,3.2
"560","KETCHUP","Ativacao",3.92,2.54
"561","LADRÃO","Ativacao",5.4,3.08
"562","LAGO","Ativacao",3.82,2.99
"563","LAMA","Ativacao",5.36,2.99
"564","LÂMPADA","Ativacao",3.82,2.65
"565","OPINIÃO","Ativacao",5.21,2.6
"566","ORGASMO","Ativacao",4.37,3.39
"567","ORGULHO","Ativacao",4.55,2.88
"568","ORGULHOSO","Ativacao",4.85,2.9
"569","ORQUESTRA","Ativacao",4.77,2.88
"570","OTIMISMO","Ativacao",4.13,3.01
"571","OURO","Ativacao",4.25,2.91
"572","OUSADO","Ativacao",4.38,2.59
"573","OUTONO","Ativacao",4.35,2.65
"574","OVO","Ativacao",2.78,2.19
